Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,522800,61900,12900,159200,115400,15700,27600,245200,1068200,24200,10700,135900,179500,110800,11100,191500,95800,865400,35800,196400,209100
500,12178600,70300,14800,59900,99900,16500,32900,624700,116000,26900,11300,466000,111200,215400,14500,586200,116400,1389200,15900,593600,734500
750,130600,8442400,13900,61500,65600,14600,30800,939900,135500,29100,12300,756500,93700,455800,12400,756400,118400,1971000,14100,990000,901400
1000,166300,58800,14500,75600,58200,14100,32800,1447500,105500,26800,11400,878800,105200,788200,13400,1150600,98700,4337000,14500,1468300,1322100
1250,131900,50100,15600,72900,56600,13900,29100,2096200,124600,27500,12900,1570400,96600,1226500,13100,1939000,131100,3823500,12900,1775700,1653600
1500,134400,51200,13300,65300,77200,15500,28600,3555300,90200,30400,12200,1579800,176500,1670900,11500,2535400,63800,5986600,33000,2250000,1693000
1750,135000,52800,18000,63800,60900,15400,30200,3651600,92200,27800,13500,2159400,101600,2191500,15200,2650900,47500,5784800,28600,2573100,2759000
2000,122600,54100,20800,62000,68900,16100,30300,4582300,95700,29400,11000,3495200,127000,2899500,12800,3453800,49700,6323500,47100,3040000,3624700
2250,107000,56000,17700,56900,64000,14500,30900,5973300,95800,27900,11200,4011800,193000,3537600,13300,4080700,111000,7419800,13100,3370400,2515300
2500,94400,57100,18900,53400,97100,14200,29100,6550500,174000,31400,11100,5086400,136700,4463400,12600,6617800,37900,7015900,16600,3905200,3532500
2750,162900,58900,17600,54200,100100,14300,27200,6591100,95900,31900,9100,5427100,98400,5108700,12100,5481400,43700,7612800,15800,4259800,4313500
3000,143300,66600,17000,51900,218800,14000,30400,6938600,91000,30000,7100,6702900,69900,5901500,13400,9997400,39400,8185900,15800,4814100,4904900
3250,184500,60500,18200,60000,216000,12700,31100,7484100,90000,30000,7200,6899700,94700,7002100,15000,12005700,41100,8955600,17600,5666900,4452400
3500,372800,60300,18400,63900,248100,15600,31100,8085400,97700,31000,6900,7176200,101800,6819000,17000,7045300,38600,9588900,17300,5751500,4268100
3750,278800,62400,17600,41200,68200,15300,32200,8614100,95900,29100,7300,7292200,85800,7403400,18600,8157600,40800,10242700,15300,6254300,4275500
4000,227300,62000,18900,40300,67100,14700,38900,9154900,93300,30600,6900,7800400,142000,7912400,15800,8215600,49700,10950600,12300,6701200,4508700
4250,174800,65100,17100,36900,50000,15200,37100,9729700,93800,32100,8000,8296800,79900,8497100,18200,15680600,230000,11611000,16500,7213300,4819300
4500,173900,65100,17600,36500,48200,16700,32100,10302700,94800,33000,7800,8858000,64400,8976800,14800,11708900,58000,12336400,16200,7612800,5112900
4750,165600,64300,18500,39000,50100,17000,33300,10820700,96600,30200,8500,9350600,64300,9520400,15600,14255000,57100,13061500,13500,8008500,5419100
5000,145800,63600,18600,51600,56500,17700,32500,11377600,100600,32100,8500,9928900,172700,10732900,18200,16102700,52700,13790800,31700,8476000,5686200
5250,145000,65000,18600,36100,80800,14900,34300,11906100,261900,31900,8000,10518300,134300,10814400,20600,11484600,46500,14770800,13900,8828600,5990600
5500,194500,63300,19300,38100,399700,15500,33600,12427300,86700,33700,8100,10914200,85900,11429300,16800,11933200,51700,15224100,11200,9296600,6288800
5750,263700,65400,19300,37400,185200,14900,33200,12983800,91500,30300,8300,11033900,64200,11745600,15100,12384800,45200,16163800,41200,10008300,6563200
